Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ camel-quarkus-caffeine                             Camel Caffeine Cache                                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/caffeine.html
✬ camel-quarkus-cassandraql                          Camel Cassandra CQL                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/cassandraql.html
✬ camel-quarkus-cbor                                 Camel CBOR                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/cbor.html
✬ camel-quarkus-cloudevents                          Camel Cloudevents                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/cloudevents.html
✬ camel-quarkus-consul                               Camel Consul                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/consul.html
✬ camel-quarkus-controlbus                           Camel Control Bus                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/controlbus.html
✬ camel-quarkus-core                                 Camel Core                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/core.html
✬ camel-quarkus-couchdb                              Camel CouchDB                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/couchdb.html
✬ camel-quarkus-cron                                 Camel Cron                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/cron.html
✬ camel-quarkus-crypto                               Camel Crypto (JCE)                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/crypto.html
✬ camel-quarkus-crypto-pgp                           Camel PGP                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/crypto-pgp.html
✬ camel-quarkus-csimple                              Camel CSimple                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/csimple.html
✬ camel-quarkus-csv                                  Camel CSV                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/csv.html
✬ camel-quarkus-cxf-soap                             Camel CXF                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/cxf-soap.html
✬ camel-quarkus-dataformat                           Camel Data Format                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/dataformat.html
✬ camel-quarkus-dataset                              Camel Dataset                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/dataset.html
